date,close,diff,open,high,low,volume
2019-10-28,6430,290,6230,6600,6190,932363
2019-10-29,6490,60,6460,6650,6380,669413
2019-10-30,6410,80,6530,6530,6390,232689
2019-10-31,6580,170,6510,6680,6410,506368
2019-11-01,6760,180,6600,6900,6540,799588
2019-11-04,7170,410,6880,7730,6690,6669599
2019-11-05,8050,880,7200,8050,6980,6533414
2019-11-06,7610,440,7950,8220,7540,5316376
2019-11-07,7330,280,7660,7690,7170,1682156
2019-11-08,7030,300,7350,7430,6990,1200843
2019-11-11,7150,120,7000,7150,6860,986587
2019-11-12,6950,200,7140,7160,6950,645697
2019-11-13,7210,260,7030,7220,6740,2886674
2019-11-14,6960,250,7670,7750,6960,4216332
2019-11-15,6970,10,6970,7150,6910,761335
2019-11-18,6980,10,7080,7190,6980,769934
2019-11-19,6700,280,6910,6940,6660,706489
2019-11-20,6570,130,6650,6930,6550,800106
2019-11-21,6440,130,6600,6670,6390,431718
2019-11-22,6430,10,6440,6670,6410,409510
2019-11-25,6570,140,6460,6600,6460,270295
2019-11-26,6640,70,6640,6690,6590,276170
2019-11-27,6690,50,6660,7070,6540,1297722
2019-11-28,6780,90,6690,6900,6570,913451
2019-11-29,6600,180,6780,6820,6590,639053
2019-12-02,6540,60,6610,6670,6520,234198
2019-12-03,6660,120,6460,6690,6460,284992
2019-12-04,6660,0,6600,6800,6590,391957
2019-12-05,6650,10,6800,6940,6630,846181
2019-12-06,6960,310,6620,7040,6620,1261923
2019-12-09,6920,40,7070,7080,6820,829525
2019-12-10,6990,70,6890,7040,6830,563962
2019-12-11,6870,120,6940,7070,6870,428688
2019-12-12,6850,20,6880,6970,6840,286638
2019-12-13,6850,0,6880,6930,6840,397956
2019-12-16,6950,100,6850,7020,6850,586989
2019-12-17,6870,80,7040,7080,6850,458624
2019-12-18,6800,70,6910,6930,6770,344613
2019-12-19,6870,70,6800,6990,6800,430207
2019-12-20,6830,40,6900,6900,6810,220771
2019-12-23,6820,10,6850,6930,6770,396869
2019-12-24,6720,100,6830,6850,6660,422327
2019-12-26,6740,20,6700,6840,6700,338890
2019-12-27,6970,230,6750,6990,6750,527228
2019-12-30,7240,270,7010,7270,6970,903900
2020-01-02,7320,80,7330,7410,7160,649218
2020-01-03,7230,90,7320,7370,7170,416141
2020-01-06,6950,280,7200,7200,6930,435744
